"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Width","Height","Length","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0BYMRMNP3","B0BYMRMNP3","Jonard Tools CST-1140 Round Cable Strip & Ring Tool for Cables 4.5-29 mm in Diameter and Jonard Tools FOD-2000 Fiber Optic Drop Cable Slitter for 0.250"" Flat Cable, Blue","JONARD TOOLS","Amazon","Tools & Home Improvement",14584,"Wire Strippers",154.9,"N/A",894,-15,138480.6,1683,4.4,"Amazon",1,9657,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","03/01/2023",640,7,17,0.53
"https://amazon.com/dp/B0BYMV7R6N","B0BYMV7R6N","Jonard Tools CST-1140 Round Cable Strip & Ring Tool for Cables 4.5-29 mm in Diameter & Jonard Tools MS-306 Fiber Optic Cable Mid Span Slit & Ring Tool (1.2 mm - 3.3 mm)","JONARD TOOLS","Amazon","Tools & Home Improvement",14584,"Wire Strippers",129.92,"N/A",894,-15,116148.48,1683,4.4,"Amazon",1,9657,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","03/01/2023",640,7,17,0.53
"https://amazon.com/dp/B09JV4G77K","B09JV4G77K","Jonard Tools OTDR-1000 Multi-Function OTDR with OTDR, Event Map, Power Meter, Light Source, VFL, Network Cable Tester, and More","JONARD TOOLS","Amazon","Industrial & Scientific",53518,"Network & Cable Testers",1495.95,2,72,,107708.4,13,4.7,"Amazon",2,"N/A","N/A","Large Standard-Size",7.5590551181102,10.354330708661,3.3464566929134,2.37258,"N/A","N/A","04/01/2023",19,6,10,5.54
"https://amazon.com/dp/B0BYML4DC8","B0BYML4DC8","Jonard Tools CST-1140 Round Cable Strip & Ring Tool for Cables 4.5-29 mm in Diameter and Jonard JIC-186 Kevlar Ergonomic Fiber Optic Cutter, 6"" Length","JONARD TOOLS","Amazon","Tools & Home Improvement",14584,"Wire Strippers",115.9,"N/A",894,-15,103614.6,1683,4.4,"Amazon",1,9657,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","03/01/2023",640,7,17,0.53
"https://amazon.com/dp/B09SN5KNMQ","B09SN5KNMQ","Jonard Tools CST-1140 Round Cable Strip & Ring Tool for Cables 4.5 - 29 mm in Diameter","JONARD TOOLS","Amazon","Tools & Home Improvement",14392,"Wire Strippers",99.95,"N/A",983,-13,98250.85,1677,4.4,"Amazon",7,10767,"N/A","Large Standard-Size",5.9055118110236,7.9527559055118,1.9685039370079,0.3087,"N/A","N/A","03/01/2023",15,6,17,0.59
"https://amazon.com/dp/B0BF5MPC3F","B0BF5MPC3F","Jonard Tools CST-1900 Round Cable Stripper for Fast and Precise Jacket Removal, 3/16"" to 1 1/8"" Diameter & FOD-2000 Fiber Optic Drop Cable Slitter for 0.250"" Flat Cable, Blue","JONARD TOOLS","Amazon","Tools & Home Improvement",14584,"Wire Strippers",106.21,"N/A",894,-15,94951.74,1678,4.4,"Amazon",1,9657,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","03/01/2023",640,7,17,0.53
"https://amazon.com/dp/B08KKT5C55","B08KKT5C55","Jonard Tools RC-336ACSR Ratcheting Cable Cutter for 336ACSR Aluminum Cables Up to 30 mm Diameter","JONARD TOOLS","Amazon","Tools & Home Improvement",75486,"Wire Cutters",397.95,7,216,-33,85957.2,404,4.6,"Amazon",3,"N/A","N/A","Large Standard-Size",5.4724409448819,9.8425196850394,2.0866141732283,2.648205,"N/A","N/A","08/01/2022",31,6,6,0.53
"https://amazon.com/dp/B08N3DCFSX","B08N3DCFSX","Jonard Tools EBC-800 Power Oscillating Multi-Tool Electrical Wall Box Cutter, Double Gang","JONARD TOOLS","Amazon","Tools & Home Improvement",10863,"Oscillating Tool Blades",87.95,11,895,5,78715.25,1581,4.8,"Amazon",5,7447,-7,"Large Standard-Size",4.7637795275591,6.1417322834646,1.8110236220472,0.407925,"N/A","N/A","03/01/2023",30,6,7,0.57
"https://amazon.com/dp/B0BF5LQRQW","B0BF5LQRQW","Jonard Tools Round Cable Stripper, 3/16"" to 1 1/8"" Diameter & Klein Tools Wire Cutter/Wire Stripper, Heavy Duty Automatic Wire Stripper Tool for 8-20 AWG Solid and 10-22 AWG Stranded Electrical Wire","JONARD TOOLS","Amazon","Tools & Home Improvement",14584,"Wire Strippers",81.23,"N/A",894,-15,72619.62,1678,4.4,"Amazon",0,9657,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","03/01/2023",640,7,17,0.53
"https://amazon.com/dp/B0BF5K6BHQ","B0BF5K6BHQ","Jonard Tools CST-1900 Round Cable Stripper for Fast and Precise Jacket Removal, 3/16"" to 1 1/8"" Diameter & JIC-375 Three Hole Fiber Optic Stripper with TPR Handle, 6"" Length","JONARD TOOLS","Amazon","Tools & Home Improvement",14584,"Wire Strippers",81.18,"N/A",894,-15,72574.92,1678,4.4,"Amazon",0,9657,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","03/01/2023",640,7,17,0.53
